Comment if error,Asin,UPC,ASIN Name,Brand Name,BU,loaddate
Drew Cost 2018 requested,B076CHMH8R,NULL,"Mist TWST, Lemon Lime Soda, 20oz Bottle",Mist Twist,NULL,NULL
Drew Cost 2018 requested,B076CJVCV7,NULL,"Gatorade Drink Variety Pack Bottles, 480 Fluid Ounce",Gatorade,NULL,NULL
Drew Cost 2018 requested,B076CJVH4R,NULL,"Gatorade Drinks, Glacier Freeze, 32 Ounce",Gatorade,NULL,NULL
Drew Cost 2018 requested,B076CNMRJ7,NULL,Horizon Organic Dairy Organic 1% Low Fat Milk - Chocolate - 8 oz - 6 pk,<UnAssigned>,NULL,NULL
Andrew Stormont 2018 Requested,B0012V2NUG,NULL,"Lipton Brisk, Lemon Iced Tea, 12 pk, 12 oz",Brisk,NULL,NULL
Drew Cost 2018 requested,B076CQ6M1F,NULL,"Horizon Organic, 1% Low Fat Milk, Chocolate, 6pk, 8oz",<UnAssigned>,NULL,NULL
Andrew Stormont 2018 Requested,B001V8LLNA,NULL,"Lipton, Diet Iced Green Tea Citrus Jug, 1 Gallon",Diet Lipton,NULL,NULL
Andrew Stormont 2018 Requested,B0048KJDH4,NULL,Gatorade Lemon Lime - 128 oz,Gatorade,NULL,NULL
Drew Cost 2018 requested,B00E5QL28O,NULL,"Diet Pepsi, 20oz Bottle",Diet Pepsi,NULL,NULL
Andrew Stormont 2018 Requested,B004T39UNW,NULL,Tazo Organic Green Iced Tea - 13.8 oz,Tazo,NULL,NULL
Fresh,B00BIWS2VI,52000325850,"Gatorade Energy Drink, X Factor Fruit Punch with Berry, 32 oz",Gatorade,Beverages,6/1/20
Fresh,B00K311DD4,48500019047,"Trop50, Orange Juice with Calcium + Vitamin D, No Pulp, 12 oz",Tropicana,Beverages,4/29/20
Fresh,B01BCXMW7W,8259263403,"Naked Juice, Kale Blazer, 64 oz",Naked Juice,Beverages,4/29/20
Fresh,B01E5B3UMO,8259263406,"Naked Juice Cold Pressed Non-GMO Juice, Bright Greens, 12 oz",Naked Juice,Beverages,4/29/20
Fresh,B00DG71706,8259266010,Nk Mighty Mango Smthi 10 Oz,Naked Juice,Beverages,4/29/20
Fresh,B06XVVZP5G,8.53311E+11,"KeVita Master Brew Kombucha, Dragonfruit Lemongrass, 15.2 oz",Kevita,Beverages,4/29/20
